2015-01-15 11:59:55 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/list/css/widget-list.css no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:59:55 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/matrix/widget-matrix.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:59:55 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/matrix/widget-matrix-conf.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:59:55 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/matrix/css/widget-matrix.css no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:59:55 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file themes/cupertino/cupertino.css no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:59:55 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file application.css no change on TS : 2015-01-14T11:40:06.000Z
2015-01-15 11:59:55 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file menu.waPage/scripts/index-smartphone.js no change on TS : 2015-01-15T11:50:58.000Z
2015-01-15 12:00:28 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file minifiedCoresWAF/mobile.core.min.js no change on TS : 2014-10-22T13:02:18.000Z
2015-01-15 12:00:28 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file minifiedCoresWAF/mobile.core.min.css no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 12:00:28 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/container/widget-container.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 12:00:28 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/container/widget-container-conf.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 12:00:28 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/container/css/widget-container.css no change on TS : 2014-10-08T14:53:42.000Z
